# 全國親子館(托育資源中心)名冊 — 釘住的擷取結果
#
# 來源機關   衛生福利部社會及家庭署
# 文件名稱   全國親子館(托育資源中心)名冊(115.06)
# 版本       115.06
# 來源網址   https://www.sfaa.gov.tw/sfaa/list/detail/5eC/5Ea
# 擷取日期   2026-08-28
# 擷取方式   下載上述頁面提供的 PDF，以 PDF 表格擷取器讀出 5 頁的表格，
#            逐列取出 7 個儲存格後寫成本檔。詳見 scripts/buildFamilyCentres.cjs
#            開頭關於「為什麼把擷取結果進版控」的說明。
# 資料筆數   234
#
# 欄位       項次	縣市	區域	名稱	地址	電話	成立時間
#
# 刻意保留的原始樣貌（由 buildFamilyCentres.cjs 負責正規化，本檔不動）：
#   1. 縣市只出現在該縣市第一列，其餘留空。PDF 的表格用 rowspan 合併縣市欄，
#      跨頁時會重複一次（項次 50、154、207），這裡照抄不合併。
#   2. 原始 PDF 把 rowspan 的縣市儲存格丟到列尾，只有澎湖縣（項次 217，該縣
#      僅一列）留在第 2 欄。那是擷取器的欄位錯位，不是資料，所以本檔已還原成
#      固定欄序；rowspan 造成的留空則保留。
#   3. 項次 192 的區域欄寫「北斗鄉」，地址寫「北斗鎮」。北斗是鎮
#      （https://www.chcg.gov.tw/TSO/beidou/），來源的區域欄有誤，照抄不改。
#   4. 電話與地址夾雜 PDF 換行造成的空白，含項次 168 地址裡的 U+00A0。
#      照抄不改，交給建置腳本清掉。
#   5. 項次 25 名稱含「台」（三重台北橋公共托育中心），是專有名詞，照抄不改。
項次	縣市	區域	名稱	地址	電話	成立時間
1	新北市	汐止區	汐止忠厚公共托育中心	新北市汐止區樟樹一路137巷26號2樓	02-26413300	100.09.30
2		三重區	三重重新公共托育中心	新北市三重區重新路五段511號2樓	02-29953933	100.11.30
3		板橋區	板橋新板公共托育中心	新北市板橋區漢生東路258號2樓	02-29610601	101.01.17
4		中和區	中和南勢角公共托育中心	新北市中和區捷運路56號2樓	02-29449595	101.07.25
5		新店區	新店安康公共托育中心	新北市新店區安康路2段120號2樓	02-86662789	101.08.22
6		泰山區	泰山幼獅公共托育中心	新北市泰山區全興路212號3樓	02-22960028	101.09.18
7		新莊區	新莊昌平公共托育中心	新北市新莊區昌平街200號	02-85213521	101.09.24
8		林口區	林口仁愛公共托育中心	新北市林口區文化一路一段137號3樓	02-26097311	101.12.22
9		三重區	三重二重公共托育中心	新北市三重區大有街10號	02-29718441	101.12.22
10		板橋區	板橋大觀公共托育中心	新北市板橋區大觀路一段30號	02-29659922	101.12.28
11		土城區	土城和平公共托育中心	新北市土城區中正路18號2樓	02-22609588	102.01.24
12		永和區	永和中興公共托育中心	新北市永和區國光路116巷2號2、3樓	02-89230013	102.01.30
13		淡水區	淡水淡海公共托育中心	新北市淡水區淡海路111號2樓	02-28056620	102.02.06
14		蘆洲區	蘆洲鷺江公共托育中心	新北市蘆洲區民族路7號	02-82827702	102.06.19
15		蘆洲區	蘆洲長安公共托育中心	新北市蘆洲區長安街96號2樓	02-82867150	102.06.19
16		樹林區	樹林保安公共托育中心	新北市樹林區保安街1段7號1、2樓	02-26758333	102.07.30
