行政區,機構名稱,地址,電話,分機,手機,開放時間,位置指引,基本設備,友善設備或服務,優良哺集乳室認證效期,輪椅使用,貼心小提醒
63000010,內政部國土管理署,臺北市松山區八德路2段342號,(02)87712437,,,週一至週五 08:30~17:30,1樓，101室,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,交通部運輸研究所,臺北市松山區敦化北路240號,(02)23496734,轉 6733,,週一至週五 08:30~17:30,地下1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,交通部公路局臺北市區監理所,臺北市松山區八德路4段21號,(02)27630155,轉628,,週一至週五 08:30~18:00,2樓電梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,"臺北自來水事業處
(東區營業分處)",臺北市松山區光復北路266號,(02)87703357,,,週一至週五 08:30~17:30,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,臺北大眾捷運股份有限公司-臺北小巨蛋,臺北市松山區南京東路4段2號,"(02)25783536
",分機601、602,,"週一至週日 09:00~21:00
(展演期間延至閉館)",臺北小巨蛋主場館B1層,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,微風廣場實業股份有限公司,臺北市松山區復興南路1段39號,(02)66008888,轉 3528,,"1.週日至週三 11:00~21:30
2.週四至週六 11:00~22:00",A棟2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,台灣家樂福股份有限公司三民分公司,臺北市松山區三民路160號,(02)27670702,轉 850、851,,"1.週日至週四 08:00~23:00
2.週五、週六 08:00~24:00",2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北偶戲館,臺北市松山區市民大道5段99號,(02)25289553,轉 202,,週二至週日 10:00~17:00,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,116年8月31日,依各場所實際內容為主,
63000010,臺北市政府體育局,臺北市松山區南京東路4段10號,(02)25702330,轉 6552,,週一至週日 08:00~22:00,1樓大門入口右方(警衛台後方),靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
63000010,食祿軒餐廳股份有限公司慶城分公司,臺北市松山區復興北路99號,(02)77071678,轉 118,,週一至週日 11:00~21:30,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,臺北市立圖書館三民分館,臺北市松山區民生東路5段163-1號,(02)27600408,轉9,,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",5樓兒童閱覽室正前方,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,117年8月31日,依各場所實際內容為主,
63000010,臺北市立圖書館啟明分館,臺北市松山區敦化北路76號,(02)25148443,轉 14,,週一至週日 09:00~17:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,
63000010,空軍松山基地指揮部,臺北市松山區民權東路4段121號,(02)27198499,,,週一至週五 08:00~17:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,,依各場所實際內容為主,位於軍營內有管制，針對軍眷搭機時開放使用。
63000010,臺北市政府警察局松山分局,臺北市松山區南京東路4段12號,(02)25790692,,,每日24小時開放,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,依各場所實際公告內容為主,115年8月31日,依各場所實際內容為主,
